Name;LOC;Time;PIPs;Paths;Paths vuln;Paths timeout;XSS;SQLi;EVAL;SPECIFICS
barryvdh_laravel-ide-helper.result;3834;00:00:34;0;0;0;0;0;0;0;;
bobthecow_mustache.php.result;5999;00:00:59;0;0;0;0;0;0;0;;
illuminate_database.result;15766;00:02:58;0;0;0;0;0;0;0;;
vimeo_psalm.result;183397;00:02:58;0;0;0;0;0;0;0;;
gabrielrcouto_php-gui.result;3938;00:00:27;0;0;0;0;0;0;0;;
koel_koel.result;9568;00:00:38;0;0;0;0;0;0;0;;
FrozenNode_Laravel-Administrator.result;10029;00:01:06;0;0;0;0;0;0;0;;
ramsey_uuid.result;12149;00:00:57;0;0;0;0;0;0;0;;
unicodeveloper_laravel-hackathon-starter.result;1939;00:00:21;0;0;0;0;0;0;0;;
endroid_qr-code.result;1415;00:00:25;0;0;0;0;0;0;0;;
doctrine_inflector.result;3084;00:00:32;0;0;0;0;0;0;0;;
goaop_framework.result;9835;00:00:49;0;0;0;0;0;0;0;;
laravel_tinker.result;369;00:00:19;0;0;0;0;0;0;0;;
Qsnh_meedu.result;82761;00:00:47;0;0;0;0;0;0;0;;
vtrois_kratos.result;9126;00:19:21;0;0;0;0;0;0;0;;
phalcon_cphalcon.result;138574;00:02:27;0;0;0;0;0;0;0;;
apiato_apiato.result;14984;00:00:33;0;0;0;0;0;0;0;;
felixfbecker_php-language-server.result;8303;00:00:37;0;0;0;0;0;0;0;;
zyx0814_dzzoffice.result;126462;03:21:26;34;102;3;1;31;0;0;  (xss) print_func:1,  (xss) sprintf:9,  (unserialize) unserialize:3,  (xss) exit:15,  (xss) echo_func:6,;
acacha_adminlte-laravel.result;3616;00:00:23;0;0;0;0;0;0;0;;
KnpLabs_snappy.result;1626;00:00:23;0;0;0;0;0;0;0;;
box_spout.result;12668;00:00:39;0;0;0;0;0;0;0;;
bagisto_bagisto.result;70099;00:14:47;0;0;0;0;0;0;0;;
ganlvtech_down_52pojie_cn.result;473;00:00:20;0;0;0;0;0;0;0;;
vlucas_phpdotenv.result;2855;00:00:42;0;0;0;0;0;0;0;;
doctrine_orm.result;96731;00:00:42;0;0;0;0;0;0;0;;
fecshop_yii2_fecshop.result;157385;00:09:33;0;0;0;0;0;0;0;;
aonez_Keka.result;736;00:00:19;0;0;0;0;0;0;0;;
voten-co_voten.result;15207;00:00:19;0;0;0;0;0;0;0;;
PHPOffice_PHPExcel.result;69553;00:20:12;6;6;0;0;6;0;0;  (xss) echo_func:6,;
Audi-1_sqli-labs.result;6791;00:05:14;101;193;39;0;22;79;0;  (sqli) list_call:mysql_query_0:79,  (xss) echo_func:22,;
gharlan_alfred-github-workflow.result;1425;00:00:30;0;0;0;0;0;0;0;;
reactphp_promise.result;3575;00:00:43;0;0;0;0;0;0;0;;
GeneaLabs_laravel-model-caching.result;7378;00:00:28;0;0;0;0;0;0;0;;
getsentry_sentry-php.result;10702;00:00:28;0;0;0;0;0;0;0;;
guzzle_guzzle.result;8623;00:01:24;0;0;0;0;0;0;0;;
phpDocumentor_TypeResolver.result;24231;00:01:24;0;0;0;0;0;0;0;;
erikdubbelboer_phpRedisAdmin.result;1470;05:11:06;28;130;3;98;28;0;0;  (xss) exit:3,  (xss) echo_func:25,;
austintoddj_canvas.result;4117;00:00:34;0;0;0;0;0;0;0;;
reactjs_react-php-v8js.result;99;00:00:25;0;0;0;0;0;0;0;;
symfony_http-kernel.result;17654;00:02:07;0;0;0;0;0;0;0;;
booksbyus_zguide.result;7056;00:05:23;0;0;0;0;0;0;0;;
FriendsOfSymfony_FOSJsRoutingBundle.result;1398;00:00:25;0;0;0;0;0;0;0;;
hybridauth_hybridauth.result;6213;00:01:05;2;5;5;0;2;0;0;  (xss) sprintf:2,;
folkloreinc_laravel-graphql.result;3241;00:00:28;0;0;0;0;0;0;0;;
phpDocumentor_ReflectionCommon.result;149;00:00:18;0;0;0;0;0;0;0;;
fzaninotto_Faker.result;106600;00:02:38;0;0;0;0;0;0;0;;
PHPOffice_PhpSpreadsheet.result;106113;00:17:59;3;3;0;0;3;0;0;  (xss) echo_func:3,;
Maatwebsite_Laravel-Excel.result;10166;00:17:59;3;3;0;0;0;0;0;;
vinkla_laravel-hashids.result;282;00:00:19;0;0;0;0;0;0;0;;
typecho_typecho.result;23518;06:23:29;3;3;1;0;3;0;0;  (xss) echo_func:3,;
isohuntto_openbay.result;7404;00:00:48;0;0;0;0;0;0;0;;
bobthecow_psysh.result;16716;00:01:29;0;0;0;0;0;0;0;;
JakubOnderka_PHP-Console-Color.result;370;00:00:25;0;0;0;0;0;0;0;;
Respect_Validation.result;16740;00:00:51;0;0;0;0;0;0;0;;
symfony_http-foundation.result;14834;00:01:46;0;0;0;0;0;0;0;;
jae-jae_QueryList.result;893;00:00:21;0;0;0;0;0;0;0;;
symfony_thanks.result;406;00:00:27;0;0;0;0;0;0;0;;
barryvdh_laravel-debugbar.result;3656;00:00:49;0;0;0;0;0;0;0;;
jqhph_dcat-admin.result;35642;00:00:49;0;0;0;0;0;0;0;;
flarum_flarum.result;20;00:00:17;0;0;0;0;0;0;0;;
tymondesigns_jwt-auth.result;5107;00:00:26;0;0;0;0;0;0;0;;
top-think_think.result;328;00:00:18;0;0;0;0;0;0;0;;
RSS-Bridge_rss-bridge.result;44840;00:02:41;0;0;0;0;0;0;0;;
Imangazaliev_DiDOM.result;4912;00:01:31;0;0;0;0;0;0;0;;
matomo-org_matomo.result;255946;00:04:52;1;1;1;0;1;0;0;  (xss) sprintf:1,;
doctrine_lexer.result;425;00:00:23;0;0;0;0;0;0;0;;
sebastianbergmann_diff.result;120619;00:00:23;0;0;0;0;0;0;0;;
vinkla_hashids.result;628;00:00:21;0;0;0;0;0;0;0;;
botman_botman.result;8347;00:00:32;0;0;0;0;0;0;0;;
twigphp_Twig.result;17132;00:01:52;0;0;0;0;0;0;0;;
joomla_joomla-cms.result;411797;00:14:05;0;0;0;0;0;0;0;;
sebastianbergmann_php-text-template.result;116585;00:00:19;0;0;0;0;0;0;0;;
guyueyingmu_avbook.result;3475;00:22:49;0;0;0;0;0;0;0;;
symfony_polyfill-mbstring.result;3566;00:00:29;0;0;0;0;0;0;0;;
eyecatchup_SEOstats.result;4029;00:00:45;1;1;1;0;1;0;0;  (xss) print_func:1,;
ZE3kr_Cloudflare-CNAME-Setup.result;1672;00:03:36;15;30;29;1;15;0;0;  (xss) exit:4,  (xss) echo_func:11,;
vanilla_vanilla.result;162358;00:13:57;0;0;0;0;0;0;0;;
woocommerce_woocommerce.result;163742;03:40:47;0;0;0;0;0;0;0;;
billz_raspap-webgui.result;5854;00:05:01;14;14;14;0;14;0;0;  (xss) echo_func:14,;
bcosca_fatfree.result;8393;00:11:29;0;0;0;0;0;0;0;;
EasyCorp_easy-log-handler.result;446;00:01:19;0;0;0;0;0;0;0;;
firefly-iii_firefly-iii.result;150077;00:13:57;0;0;0;0;0;0;0;;
symfony_css-selector.result;3427;00:00:45;0;0;0;0;0;0;0;;
hamcrest_hamcrest-php.result;6463;00:00:29;0;0;0;0;0;0;0;;
FriendsOfPHP_pickle.result;68865;00:01:22;0;0;0;0;0;0;0;;
octobercms_october.result;89081;00:02:11;0;0;0;0;0;0;0;;
rtconner_laravel-tagging.result;1169;00:00:21;0;0;0;0;0;0;0;;
barryvdh_laravel-snappy.result;646;00:00:21;0;0;0;0;0;0;0;;
swiftmailer_swiftmailer.result;27425;00:02:31;0;0;0;0;0;0;0;;
EasyEngine_easyengine.result;9074;00:08:13;0;0;0;0;0;0;0;;
owncloud_core.result;874265;00:11:19;0;0;0;0;0;0;0;;
facebookarchive_php-graph-sdk.result;9487;00:00:36;0;0;0;0;0;0;0;;
ezyang_htmlpurifier.result;33976;00:02:54;3;3;2;0;3;0;0;  (xss) echo_func:3,;
zircote_swagger-php.result;6880;00:02:54;3;3;2;0;0;0;0;;
Seldaek_monolog.result;14598;00:01:13;0;0;0;0;0;0;0;;
emoncms_emoncms.result;21952;00:47:34;4;8;3;0;3;1;0;  (sqli) list_method:query_0:1,  (xss) echo_func:3,;
humhub_humhub.result;145455;00:04:54;0;0;0;0;0;0;0;;
bytefury_crater.result;16289;00:00:50;0;0;0;0;0;0;0;;
hui-ho_WebStack-Laravel.result;5221;00:00:22;0;0;0;0;0;0;0;;
paragonie_random_compat.result;1124;00:00:21;0;0;0;0;0;0;0;;
WordPress_WordPress.result;256598;02:14:32;29;29;3;11;29;0;0;  (xss) sprintf:16,  (xss) printf_func:1,  (xss) echo_func:12,;
spatie_laravel-permission.result;3592;00:00:27;0;0;0;0;0;0;0;;
